,model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB
0,MatrixDiT-H,8,269.266704,199.7616128,9.778087639715524,9.743657486978918,9.858985897153616,1587.08740234375
1,MatrixDiT-H,16,269.274896,389.983014912,9.72032893449068,9.677583002485337,9.81003395281732,1602.14990234375
2,MatrixDiT-H,32,269.29128,771.63849728,9.901443887501957,9.889226988889275,9.944945923052728,1632.27490234375
3,MatrixDiT-H,64,269.324048,1539.800174592,11.058931939769536,10.974689503200352,11.038091033697128,1692.52490234375
4,MatrixDiT-H,128,269.389584,3095.52637952,21.06175719527528,20.968656986951828,20.998035091906782,1813.02490234375
5,MatrixDiT-H,256,269.520656,6284.590190592,41.14783257478848,41.10995650989935,41.206061956472695,2213.02490234375
6,MatrixDiT-H,8,270.15144,214.35779072,10.000650414731354,9.961016941815616,10.070057935081422,1593.68505859375
7,MatrixDiT-H,16,270.159632,419.376697344,9.92988608777523,9.89500997820869,10.030218050815163,1612.79052734375
8,MatrixDiT-H,32,270.176016,831.231168512,10.08086199639365,10.04157104762271,10.23093203548342,1651.02490234375
9,MatrixDiT-H,64,270.208784,1662.206742528,12.111691068857908,12.06957147223875,12.10935297422111,1727.58740234375
10,MatrixDiT-H,128,270.27432,3353.22441728,23.02505610976368,22.97971793450415,23.060292936861515,1881.08740234375
11,MatrixDiT-H,256,270.405392,6851.525873664,45.306124642957,45.26617249939591,45.375515008345246,2216.58740234375
12,MatrixDiT-H,8,268.824336,192.46352384,9.63374205166474,9.59051650715992,9.7442539408803,1585.30615234375
13,MatrixDiT-H,16,268.832528,375.286173696,9.6666723000817,9.58512199576944,9.659053990617394,1600.36865234375
14,MatrixDiT-H,32,268.848912,741.842161664,9.856487966608256,9.826892521232368,9.903583908453584,1630.49365234375
15,MatrixDiT-H,64,268.88168,1478.596890624,10.604401130694896,10.574224987067282,10.630517033860087,1690.74365234375
16,MatrixDiT-H,128,268.947216,2966.67736064,19.882567587774247,19.852957513649017,19.90596204996109,1811.24365234375
17,MatrixDiT-H,256,269.078288,6001.122349056,39.03312869602814,39.00500398594886,39.05352402944118,2211.24365234375
18,MatrixDiT-H,8,269.462544,202.98205184,9.681907228659838,9.64815350016579,9.813267970457671,1587.84912109375
19,MatrixDiT-H,16,269.470736,396.447485952,9.907373357564213,9.877418517135084,9.993463987484574,1602.91162109375
20,MatrixDiT-H,32,269.48712,784.6618112,9.965133238583803,9.928676998242736,10.097938938997686,1633.03662109375
21,MatrixDiT-H,64,269.519888,1566.224289792,11.293823614250869,11.251770018134266,11.308479006402194,1693.28662109375
22,MatrixDiT-H,128,269.585424,3149.88455936,21.60896689631045,21.568764466792345,21.65964897722006,1813.78662109375
23,MatrixDiT-H,256,269.716496,6399.346348032,42.65364998951554,42.60757798328996,42.6778671098873,2213.78662109375
24,MatrixDiT-H,8,270.34728,217.57822976,9.898794209584594,9.83715197071433,10.0815569749102,1594.97412109375
25,MatrixDiT-H,16,270.355472,425.841168384,9.92152942577377,9.887968481052669,10.057901032269,1614.72412109375
26,MatrixDiT-H,32,270.371856,844.254482432,10.01395033672452,9.985215961933136,10.10790199507028,1654.59912109375
27,MatrixDiT-H,64,270.404624,1688.630857728,12.44587721535936,12.402728549204769,12.46728701516986,1735.84912109375
28,MatrixDiT-H,128,270.47016,3407.58259712,23.78504987573251,23.75331800431013,23.79008405841887,1904.34912109375
29,MatrixDiT-H,256,270.601232,6966.282031104,46.8716847570613,46.842798008583486,46.91023600753397,2265.34912109375
30,MatrixDiT-H,8,269.020176,195.68396288,9.830817489419132,9.800260013435036,9.890004992485046,1586.06787109375
31,MatrixDiT-H,16,269.028368,381.750644736,9.735060597304257,9.705694916192442,9.858492994681,1601.13037109375
32,MatrixDiT-H,32,269.044752,754.865475584,9.942999433260413,9.915656060911717,10.0573250092566,1631.25537109375
33,MatrixDiT-H,64,269.07752,1505.021005824,10.88462331565097,10.84033091319725,10.931850993074477,1691.50537109375
34,MatrixDiT-H,128,269.143056,3021.03554048,20.455834842287004,20.420252985786647,20.492070936597884,1812.00537109375
35,MatrixDiT-H,256,269.274128,6115.878506496,40.58344571618363,40.55252397665754,40.64726200886071,2212.00537109375
36,MatrixDiT-H,8,269.27976,199.976308736,9.900286719202995,9.825640474446118,10.17393299844116,1587.13427734375
37,MatrixDiT-H,16,269.287952,390.413979648,9.912085577379912,9.882726473733785,9.960773983038962,1602.19677734375
38,MatrixDiT-H,32,269.304336,772.506718208,10.068010489922017,10.03927254350856,10.13661501929164,1632.32177734375
39,MatrixDiT-H,64,269.337104,1541.561782272,11.204183297231792,11.1694959923625,11.244546039961278,1692.57177734375
40,MatrixDiT-H,128,269.40264,3099.150258176,21.22275843983516,21.185608522500843,21.26630709972233,1813.07177734375
41,MatrixDiT-H,256,269.533712,6292.240601088,41.72043431550264,41.68829048285261,41.73030506353825,2213.07177734375
42,MatrixDiT-H,8,270.164496,214.572486656,10.051569961942732,10.014004074037077,10.24213805794716,1593.76708984375
43,MatrixDiT-H,16,270.172688,419.80766208,10.062386943027375,10.0118505069986,10.243306052871048,1612.91552734375
44,MatrixDiT-H,32,270.189072,832.09938944,10.147963855415584,10.11634198948741,10.229298030026255,1651.25927734375
45,MatrixDiT-H,64,270.22184,1663.968350208,12.33525650575757,12.29311799397692,12.372166034765542,1728.13427734375
46,MatrixDiT-H,128,270.287376,3356.848295936,23.42353464802727,23.382520012091845,23.49114790558815,1882.63427734375
47,MatrixDiT-H,256,270.418448,6859.17628416,45.941804349422455,45.91018450446427,45.98203103523701,2216.63427734375
48,MatrixDiT-H,8,268.837392,192.678219776,9.785832262132317,9.710905491374431,9.82020900119096,1585.35302734375
49,MatrixDiT-H,16,268.845584,375.717138432,9.782723996322602,9.756338491570204,9.896557894535364,1600.41552734375
50,MatrixDiT-H,32,268.861968,742.710382592,10.036002667620778,10.014337487518787,10.118152014911177,1630.54052734375
51,MatrixDiT-H,64,268.894736,1480.358498304,10.763512223493308,10.729195491876451,10.784526006318629,1690.79052734375
52,MatrixDiT-H,128,268.960272,2970.301239296,20.094263213686645,20.05154592916369,20.15847503207624,1811.29052734375
53,MatrixDiT-H,256,269.091344,6008.772759552,39.56715436885133,39.53105700202286,39.59031996782869,2211.29052734375
54,MatrixDiT-H,8,269.67144,206.417186816,9.766775981988758,9.66030702693388,9.860076941549778,1588.66943359375
55,MatrixDiT-H,16,269.679632,403.342921728,9.846074616070837,9.75665549049154,9.950132924132047,1603.73193359375
56,MatrixDiT-H,32,269.696016,798.553346048,10.035612378269434,9.94911399902776,10.14636701438576,1633.85693359375
57,MatrixDiT-H,64,269.728784,1594.410012672,11.49515952449292,11.455781059339644,11.514185927808285,1694.10693359375
58,MatrixDiT-H,128,269.79432,3207.866617856,22.001216823700812,21.950291469693184,22.08155405241996,1829.60693359375
59,MatrixDiT-H,256,269.925392,6521.752915968,43.96788333542645,43.9300739672035,44.00571598671377,2214.60693359375
60,MatrixDiT-H,8,270.556176,221.013364736,9.880359016824514,9.77726693963632,9.901567013002932,1596.35693359375
61,MatrixDiT-H,16,270.564368,432.73660416,9.811635937076062,9.78388695511967,9.934551897458732,1616.79443359375
62,MatrixDiT-H,32,270.580752,858.14601728,10.114057746250182,10.031369514763355,10.187265928834677,1658.41943359375
63,MatrixDiT-H,64,270.61352,1716.816580608,12.631790549494326,12.585636926814914,12.699711951427162,1744.66943359375
64,MatrixDiT-H,128,270.679056,3465.564655616,24.170870347879827,24.122045491822064,24.229670991189774,1929.16943359375
65,MatrixDiT-H,256,270.810128,7088.68859904,48.18915701005608,48.15555951790884,48.22657199110836,2346.16943359375
66,MatrixDiT-H,8,269.229072,199.119097856,9.780457667075098,9.745586023200303,9.904878097586334,1586.88818359375
67,MatrixDiT-H,16,269.237264,388.646080512,9.687043488956988,9.645705460570753,9.81704192236066,1601.95068359375
68,MatrixDiT-H,32,269.253648,768.757010432,9.994725186843423,9.960794472135603,10.113144991919398,1632.07568359375
69,MatrixDiT-H,64,269.286416,1533.206728704,11.03221896570176,10.99104742752388,11.045650113373997,1692.32568359375
70,MatrixDiT-H,128,269.351952,3079.017598976,20.90229691239074,20.868134510237724,20.94975102227181,1812.82568359375
71,MatrixDiT-H,256,269.483024,6238.285074432,41.85547179542482,41.83084046235308,41.868656990118325,2212.82568359375
72,MatrixDiT-H,8,269.305872,200.405700608,9.882147265598178,9.787691466044636,10.129326954483986,1587.23388671875
73,MatrixDiT-H,16,269.314064,391.27590912,9.966619024053216,9.921556513290852,10.212169028818607,1602.29638671875
74,MatrixDiT-H,32,269.330448,774.243160064,10.176127017475665,10.118479491211474,10.329974931664765,1632.42138671875
75,MatrixDiT-H,64,269.363216,1545.084997632,11.225531920790672,11.185879004187882,11.266829911619425,1692.67138671875
76,MatrixDiT-H,128,269.428752,3106.398015488,21.28846336621791,21.24024648219347,21.35915099643171,1813.17138671875
77,MatrixDiT-H,256,269.559824,6307.54142208,41.81380013469607,41.78293602308258,41.85952804982662,2213.17138671875
78,MatrixDiT-H,8,270.190608,215.001878528,9.699827167205513,9.662576543632897,9.79851803276688,1593.93701171875
