model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB,SpeedUp
MatrixDiT-G,128,231.62472,2461.649604608,16.824671474751085,16.786276537459344,16.887236037291586,1595.90185546875,7.905926931577643
MatrixDiT-G,8,232.386576,176.215052288,8.1490322900936,8.055587531998754,8.211641921661794,1375.66748046875,0.626421733377256
MatrixDiT-G,16,232.394768,342.89461248,8.178431785199791,8.144879015162587,8.312185993418097,1392.90185546875,0.650303306327624
MatrixDiT-G,32,232.411152,677.480566784,8.301380332559347,8.282074006274343,8.367881062440574,1427.46435546875,1.8611265622001647
MatrixDiT-G,64,232.44392,1351.559811072,10.33719883998856,10.248654522001743,10.313184931874275,1496.96435546875,4.08562391396755
MatrixDiT-G,128,232.509456,2719.347642368,19.01004815474153,18.968259042594585,19.08509398344904,1637.46435546875,6.997069246981573
MatrixDiT-G,8,231.059472,154.320785408,7.972066677175461,7.931759930215776,8.01951193716377,1368.18310546875,0.6403271747742447
MatrixDiT-G,16,231.067664,298.804088832,7.9899373720400035,7.975442975293845,8.034711005166173,1383.24560546875,0.6656449209604304
MatrixDiT-G,32,231.084048,588.091559936,8.24875480029732,8.193437999580055,8.327665971592069,1413.37060546875,1.873000205957796
MatrixDiT-G,64,231.116816,1167.949959168,8.80270262947306,8.714831492397934,8.771491004154086,1473.62060546875,4.7978340927578325
MatrixDiT-G,128,231.182352,2332.800585728,15.76585616916418,15.7357610296458,15.805846895091236,1594.12060546875,8.436879158350996
MatrixDiT-G,8,232.2852,174.500630528,7.815705928951502,7.798142964020371,7.8612579964101315,1373.04052734375,0.6531375385553276
MatrixDiT-G,16,232.293392,339.358814208,8.027259593363851,7.948665006551892,8.052055025473237,1388.10302734375,0.662550048199156
MatrixDiT-G,32,232.309776,669.981151232,8.16770070232451,8.153406961355358,8.205945021472871,1418.22802734375,1.891587363804262
MatrixDiT-G,64,232.342544,1334.849703936,9.708107050973922,9.677707450464368,9.697242989204824,1478.47802734375,4.350375058941892
MatrixDiT-G,128,232.40808,2679.082323968,18.39318981161341,18.36463646031916,18.38408003095537,1630.97802734375,7.231732216627029
