model,n_frames,steps,fvd
FrameDiT-G,64,720000,234.5
FrameDiT-G,64,760000,229.0
FrameDiT-G,64,800000,228.0
FrameDiT-H,64,40000,10000
FrameDiT-H,64,80000,10000
FrameDiT-H,64,120000,10000
FrameDiT-H,64,160000,10000
FrameDiT-H,64,200000,587.6
FrameDiT-H,64,240000,533.2
FrameDiT-H,64,280000,489.3
FrameDiT-H,64,320000,401.1
FrameDiT-H,64,360000,385.2
FrameDiT-H,64,400000,350.6
FrameDiT-H,64,440000,322.1
FrameDiT-H,64,480000,298.9
FrameDiT-H,64,520000,298.7
FrameDiT-H,64,560000,278.4
FrameDiT-H,64,600000,263.5
FrameDiT-H,64,640000,250.3
FrameDiT-H,64,680000,229.9
FrameDiT-H,64,720000,227.8
FrameDiT-H,64,760000,227.5
FrameDiT-H,64,800000,225.3
Local Factorized,128,40000,10000
Local Factorized,128,80000,10000
Local Factorized,128,120000,10000
Local Factorized,128,160000,10000
Local Factorized,128,200000,601.2
Local Factorized,128,240000,512.3
Local Factorized,128,280000,496.4
Local Factorized,128,320000,474.1
Local Factorized,128,360000,451.3
Local Factorized,128,400000,421.4
Local Factorized,128,440000,410.0
Local Factorized,128,480000,401.2
Local Factorized,128,520000,390.0
Local Factorized,128,560000,385.6
Local Factorized,128,600000,379.9
Local Factorized,128,640000,375.1
Local Factorized,128,680000,370.2
Local Factorized,128,720000,362.0
Local Factorized,128,760000,357.0
Local Factorized,128,800000,354.4
FrameDiT-G,128,40000,10000
FrameDiT-G,128,80000,10000
FrameDiT-G,128,120000,10000
FrameDiT-G,128,160000,10000
FrameDiT-G,128,200000,439.1
FrameDiT-G,128,240000,421.1
FrameDiT-G,128,280000,400.1
FrameDiT-G,128,320000,386.3
FrameDiT-G,128,360000,368.3
FrameDiT-G,128,400000,356.7
FrameDiT-G,128,440000,344.77
FrameDiT-G,128,480000,340.1
FrameDiT-G,128,520000,320.5
FrameDiT-G,128,560000,301.3
FrameDiT-G,128,600000,295.5
FrameDiT-G,128,640000,290.1
FrameDiT-G,128,680000,288.2
FrameDiT-G,128,720000,279.1
FrameDiT-G,128,760000,273.1
FrameDiT-G,128,800000,265.6
FrameDiT-H,128,40000,7282
FrameDiT-H,128,80000,4972
FrameDiT-H,128,120000,2343
FrameDiT-H,128,160000,635
FrameDiT-H,128,200000,402
FrameDiT-H,128,240000,396
FrameDiT-H,128,280000,382
FrameDiT-H,128,320000,360
FrameDiT-H,128,360000,344
FrameDiT-H,128,400000,339
FrameDiT-H,128,440000,329
FrameDiT-H,128,480000,322
FrameDiT-H,128,520000,309.56
FrameDiT-H,128,560000,293.94
FrameDiT-H,128,600000,286
FrameDiT-H,128,640000,278
FrameDiT-H,128,680000,273
FrameDiT-H,128,720000,271
FrameDiT-H,128,760000,267
FrameDiT-H,128,800000,256.40
